Case Number,Product Info,Case Owner,VENDOR,Case Origin,Customer Request,Type Leve 1,Type Level 2,Type Level 3,Cloesed Date,1-CR,2-CSAT,3-DSAT Reason,4-Satisfaction Driver,5-Open Suggestion,Work Order,SN,Service Center,Service Type,month,week,dayweek
CASE001394,,Agent_014,TP,Phone,Business,Technical,Other,Configuration,2024-07-02,,,,,,,,,,julio,27,Tuesday
CASE001395,Product C,Agent_045,NOT TP,Chat,Individual,General,Other,Installation,2024-09-24,,,,,,,,,Standard,septiembre,39,Tuesday
CASE001396,,Agent_021,NOT TP,Web,Business,Technical,Account,Error,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE001397,,Agent_027,NOT TP,Phone,Individual,General,Account,Error,2024-08-08,,,,,,,,,Express,agosto,32,Thursday
CASE001398,Product B,Agent_024,NOT TP,Phone,Individual,Technical,Account,Error,2024-09-23,,,,,,,,,,septiembre,39,Monday
CASE001399,,Agent_007,NOT TP,Web,Individual,Billing,Account,Question,2024-07-14,,,,,,,,,,julio,28,Sunday
CASE001400,,Agent_010,TP,Web,Individual,General,Other,Question,2024-07-18,,,,,,,,,,julio,29,Thursday
CASE001401,,Agent_028,NOT TP,Phone,Business,General,Other,Error,2024-08-03,,,,,,,,,Premium,agosto,31,Saturday
CASE001402,Product B,Agent_042,NOT TP,Chat,Business,Technical,Software,Configuration,2024-07-15,,,,,,,,,,julio,29,Monday
CASE001403,,Agent_038,NOT TP,Chat,Individual,General,Account,Installation,2024-07-14,,,,,,,,,Standard,julio,28,Sunday
CASE001404,Product B,Agent_017,TP,Chat,Business,Technical,Hardware,Question,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE001405,Product B,Agent_017,NOT TP,Email,Business,General,Software,Installation,2024-07-20,,,,,,,,,,julio,29,Saturday
CASE001406,Product B,Agent_035,TP,Web,Individual,General,Software,Error,2024-08-04,,,,,,,,,Premium,agosto,31,Sunday
CASE001407,Product C,Agent_028,TP,Phone,Individual,Billing,Other,Question,2024-08-06,,,,,,WO6431,,,,agosto,32,Tuesday
CASE001408,Product A,Agent_037,NOT TP,Email,Individual,Billing,Account,Installation,2024-09-16,,,,,,WO7158,,,,septiembre,38,Monday
CASE001409,,Agent_024,TP,Chat,Individual,General,Software,Error,2024-07-27,,,,,,,,,,julio,30,Saturday
CASE001410,,Agent_040,TP,Email,Individual,Billing,Account,Question,2024-09-30,,,,,,,,,,septiembre,40,Monday
CASE001411,Product A,Agent_018,NOT TP,Phone,Individual,General,Other,Error,2024-08-13,,,,,,WO6944,,,,agosto,33,Tuesday
CASE001412,Product B,Agent_044,NOT TP,Phone,Individual,Technical,Software,Question,2024-07-27,,,,,,,,,,julio,30,Saturday
CASE001413,,Agent_026,NOT TP,Web,Individual,General,Software,Installation,2024-09-26,,,,,,,,,Express,septiembre,39,Thursday
CASE001414,,Agent_049,NOT TP,Chat,Business,General,Hardware,Installation,2024-09-20,,Very satisfied,,Promise fulfillment,,,,,,septiembre,38,Friday
CASE001415,Product B,Agent_014,NOT TP,Chat,Individual,Billing,Other,Question,2024-08-03,,,,,,,,,,agosto,31,Saturday
CASE001416,Product B,Agent_027,TP,Email,Individual,Billing,Hardware,Configuration,2024-09-03,,,,,,,,,,septiembre,36,Tuesday
CASE001417,Product B,Agent_036,TP,Chat,Individual,Technical,Other,Error,2024-09-01,,,,,,,,,,septiembre,35,Sunday
CASE001418,Product C,Agent_036,NOT TP,Email,Individual,Technical,Hardware,Installation,2024-08-02,,,,,,WO6896,,,,agosto,31,Friday
CASE001419,Product B,Agent_031,NOT TP,Phone,Individual,Technical,Other,Configuration,2024-07-07,,,,,,,,,,julio,27,Sunday
CASE001420,Product B,Agent_012,NOT TP,Phone,Individual,General,Other,Question,2024-07-12,,,,,,,,,,julio,28,Friday
CASE001421,Product A,Agent_024,NOT TP,Phone,Individual,Technical,Software,Installation,2024-09-20,,,,,,,,,,septiembre,38,Friday
CASE001422,Product C,Agent_036,TP,Phone,Individual,Technical,Hardware,Installation,2024-08-24,,,,,,,,,,agosto,34,Saturday
CASE001423,Product A,Agent_036,NOT TP,Phone,Individual,Billing,Hardware,Error,2024-08-05,No,,,,,WO3855,,,Premium,agosto,32,Monday
CASE001424,,Agent_031,TP,Email,Individual,Billing,Hardware,Configuration,2024-07-06,Yes,,,,,,,,,julio,27,Saturday
CASE001425,,Agent_017,NOT TP,Phone,Individual,Technical,Software,Error,2024-07-01,,,,,,,,,,julio,27,Monday
CASE001426,Product B,Agent_020,NOT TP,Email,Individual,Technical,Account,Question,2024-08-12,,,,,,,,,,agosto,33,Monday
CASE001427,Product C,Agent_037,NOT TP,Phone,Individual,General,Other,Installation,2024-07-17,,,,,,,,,,julio,29,Wednesday
CASE001428,,Agent_023,TP,Email,Individual,General,Hardware,Configuration,2024-09-20,,,,,,WO2657,,,,septiembre,38,Friday
CASE001429,,Agent_050,TP,Email,Business,Billing,Other,Error,2024-08-03,,,,,,,,,,agosto,31,Saturday
CASE001430,Product C,Agent_046,TP,Email,Individual,Technical,Software,Configuration,2024-07-21,,,,,,,,Center C,,julio,29,Sunday
CASE001431,Product C,Agent_026,NOT TP,Chat,Business,Technical,Other,Question,2024-08-26,,,,,,,,,,agosto,35,Monday
CASE001432,,Agent_048,NOT TP,Email,Business,Technical,Software,Installation,2024-09-09,,,,,,,,,Standard,septiembre,37,Monday
CASE001433,,Agent_009,TP,Email,Individual,Technical,Account,Configuration,2024-09-29,,,,,,,,,,septiembre,39,Sunday
CASE001434,Product B,Agent_043,TP,Phone,Individual,Technical,Hardware,Question,2024-08-24,,,,,,WO5998,,,,agosto,34,Saturday
CASE001435,,Agent_008,NOT TP,Email,Individual,General,Software,Question,2024-09-10,No,,,,,,,,,septiembre,37,Tuesday
CASE001436,Product C,Agent_048,TP,Email,Individual,General,Other,Installation,2024-07-02,,,,,,,,,,julio,27,Tuesday
CASE001437,,Agent_015,NOT TP,Web,Individual,Technical,Software,Error,2024-07-15,,,,,,,,,,julio,29,Monday
CASE001438,,Agent_029,NOT TP,Chat,Individual,General,Software,Installation,2024-07-10,,Very satisfied,,Problem-solving,,,,,,julio,28,Wednesday
CASE001439,,Agent_045,TP,Web,Individual,General,Account,Installation,2024-09-27,,,,,,,,,,septiembre,39,Friday
CASE001440,,Agent_011,TP,Phone,Individual,Technical,Hardware,Configuration,2024-07-20,,,,,,,,,,julio,29,Saturday
CASE001441,,Agent_007,NOT TP,Chat,Business,General,Software,Configuration,2024-09-08,,,,,,,,,,septiembre,36,Sunday
CASE001442,,Agent_014,TP,Chat,Individual,Technical,Software,Error,2024-07-05,,,,,,,,,Standard,julio,27,Friday
CASE001443,Product B,Agent_033,TP,Web,Business,General,Other,Question,2024-08-17,,,,,,,,,Express,agosto,33,Saturday
CASE001444,,Agent_026,NOT TP,Chat,Business,Technical,Software,Configuration,2024-09-13,,,,,,,,,,septiembre,37,Friday
CASE001445,Product C,Agent_022,NOT TP,Web,Business,Technical,Software,Error,2024-09-09,,,,,,WO3142,,,,septiembre,37,Monday
CASE001446,,Agent_036,NOT TP,Email,Business,General,Hardware,Installation,2024-07-19,,,,,,,,,,julio,29,Friday
CASE001447,Product B,Agent_040,NOT TP,Web,Individual,General,Hardware,Question,2024-08-25,,,,,,,,,Standard,agosto,34,Sunday
CASE001448,,Agent_045,TP,Chat,Individual,Billing,Other,Installation,2024-07-17,,,,,,,,,Standard,julio,29,Wednesday
CASE001449,,Agent_044,TP,Chat,Individual,Technical,Software,Question,2024-07-06,,,,,,,,,,julio,27,Saturday
CASE001450,Product A,Agent_046,NOT TP,Phone,Individual,Technical,Software,Configuration,2024-08-09,,,,,,,,,,agosto,32,Friday
CASE001451,Product A,Agent_004,NOT TP,Phone,Business,Technical,Software,Installation,2024-08-16,,,,,,WO5006,,,Standard,agosto,33,Friday
CASE001452,Product B,Agent_011,NOT TP,Phone,Business,Technical,Account,Installation,2024-07-06,,,,,,WO4098,,,,julio,27,Saturday
CASE001453,Product B,Agent_025,NOT TP,Phone,Individual,General,Account,Question,2024-08-15,,,,,,WO5819,,,,agosto,33,Thursday
CASE001454,Product B,Agent_041,TP,Chat,Individual,General,Other,Error,2024-07-27,,,,,,,,,Standard,julio,30,Saturday
CASE001455,Product A,Agent_001,NOT TP,Phone,Individual,Billing,Account,Question,2024-09-26,,,,,,,,,Standard,septiembre,39,Thursday
CASE001456,Product C,Agent_006,TP,Web,Individual,Technical,Other,Configuration,2024-08-01,,,,,,,,Center A,,agosto,31,Thursday
CASE001457,Product B,Agent_010,NOT TP,Email,Individual,Billing,Software,Error,2024-09-24,,,,,,,,,Premium,septiembre,39,Tuesday
CASE001458,Product C,Agent_031,TP,Chat,Individual,Billing,Account,Installation,2024-07-14,,,,,,WO9327,,,,julio,28,Sunday
CASE001459,Product C,Agent_039,TP,Phone,Business,Billing,Hardware,Installation,2024-08-15,,,,,,WO9011,,,,agosto,33,Thursday
CASE001460,,Agent_028,TP,Chat,Individual,Billing,Account,Installation,2024-09-10,,,,,,,,,,septiembre,37,Tuesday
CASE001461,,Agent_006,NOT TP,Phone,Business,Billing,Software,Configuration,2024-08-22,,,,,,,,,,agosto,34,Thursday
CASE001462,Product A,Agent_005,NOT TP,Chat,Individual,General,Hardware,Installation,2024-09-18,,,,,,,,,,septiembre,38,Wednesday
CASE001463,Product B,Agent_017,NOT TP,Phone,Business,General,Other,Installation,2024-07-20,Yes,,,,,,,,Standard,julio,29,Saturday
CASE001464,Product A,Agent_015,NOT TP,Email,Individual,Billing,Software,Error,2024-07-31,,,,,,,,,Express,julio,31,Wednesday
CASE001465,Product B,Agent_024,TP,Phone,Business,General,Hardware,Configuration,2024-07-21,,,,,,,,,Standard,julio,29,Sunday
CASE001466,,Agent_006,TP,Web,Individual,General,Account,Installation,2024-07-23,,,,,,,,,,julio,30,Tuesday
CASE001467,,Agent_039,NOT TP,Chat,Individual,Billing,Other,Error,2024-08-22,,,,,,,,,,agosto,34,Thursday
CASE001468,,Agent_003,TP,Chat,Individual,General,Account,Installation,2024-07-04,,,,,,,,,Express,julio,27,Thursday
CASE001469,Product A,Agent_047,NOT TP,Web,Business,General,Hardware,Error,2024-07-23,,,,,,,,,Premium,julio,30,Tuesday
CASE001470,Product B,Agent_025,TP,Web,Individual,Technical,Hardware,Installation,2024-08-12,,,,,,,,,Express,agosto,33,Monday
CASE001471,,Agent_026,NOT TP,Email,Individual,Billing,Software,Configuration,2024-08-22,No,,,,,,,,,agosto,34,Thursday
CASE001472,Product B,Agent_040,TP,Chat,Individual,Technical,Other,Question,2024-09-24,,,,,,,,,Standard,septiembre,39,Tuesday
CASE001473,,Agent_042,NOT TP,Email,Individual,Technical,Other,Configuration,2024-08-01,,,,,,,,,Standard,agosto,31,Thursday
CASE001474,,Agent_034,NOT TP,Chat,Business,Billing,Hardware,Error,2024-08-04,,Very satisfied,,,,,,,,agosto,31,Sunday
CASE001475,Product B,Agent_019,NOT TP,Chat,Individual,Technical,Software,Installation,2024-07-21,,,,,,,,,,julio,29,Sunday
CASE001476,,Agent_046,TP,Email,Individual,Technical,Hardware,Configuration,2024-09-28,,,,,,,,,Standard,septiembre,39,Saturday
CASE001477,Product B,Agent_039,NOT TP,Chat,Business,General,Hardware,Installation,2024-07-14,,,,,,,,,,julio,28,Sunday
CASE001478,Product C,Agent_004,NOT TP,Chat,Business,Technical,Other,Configuration,2024-08-18,Yes,,,,,WO1599,,,,agosto,33,Sunday
CASE001479,Product C,Agent_050,NOT TP,Email,Business,Billing,Account,Error,2024-07-05,,,,,,,,,,julio,27,Friday
CASE001480,,Agent_012,NOT TP,Phone,Individual,General,Account,Question,2024-08-30,Yes,,,,,WO8406,,,,agosto,35,Friday
CASE001481,Product A,Agent_041,NOT TP,Email,Individual,General,Other,Configuration,2024-07-29,,,,,,WO7486,,Center B,,julio,31,Monday
CASE001482,Product B,Agent_032,NOT TP,Chat,Individual,General,Software,Installation,2024-07-26,,,,,,,,Center A,,julio,30,Friday
CASE001483,Product B,Agent_029,NOT TP,Web,Business,Billing,Other,Installation,2024-08-28,,,,,,,,,,agosto,35,Wednesday
CASE001484,Product B,Agent_001,NOT TP,Phone,Individual,Billing,Software,Installation,2024-08-14,,,,,,,,,Standard,agosto,33,Wednesday
CASE001485,,Agent_013,NOT TP,Web,Individual,Billing,Other,Error,2024-08-09,,,,,,,,,,agosto,32,Friday
CASE001486,,Agent_043,TP,Phone,Individual,Technical,Software,Error,2024-07-30,,,,,,WO5170,,,,julio,31,Tuesday
CASE001487,Product A,Agent_034,TP,Web,Individual,Technical,Hardware,Question,2024-07-29,,,,,,,,,,julio,31,Monday
CASE001488,Product B,Agent_019,NOT TP,Phone,Business,General,Hardware,Installation,2024-07-04,No,,,,,,,,,julio,27,Thursday
CASE001489,,Agent_013,NOT TP,Email,Individual,General,Software,Question,2024-09-23,,,,,,,,,,septiembre,39,Monday
CASE001490,,Agent_003,NOT TP,Phone,Individual,Billing,Other,Installation,2024-07-25,,,,,,,,,,julio,30,Thursday
CASE001491,Product B,Agent_039,NOT TP,Phone,Business,Billing,Hardware,Configuration,2024-08-21,,,,,,,,,,agosto,34,Wednesday
CASE001492,,Agent_033,TP,Phone,Individual,Technical,Other,Configuration,2024-08-12,,,,,,,,,Premium,agosto,33,Monday
CASE001493,,Agent_034,TP,Chat,Individual,Technical,Account,Configuration,2024-08-05,,,,,,,,,,agosto,32,Monday
CASE001494,,Agent_045,NOT TP,Web,Business,Billing,Hardware,Installation,2024-07-09,Yes,,,,,,,,,julio,28,Tuesday
CASE001495,,Agent_015,TP,Email,Business,Billing,Other,Configuration,2024-08-05,,,,,,,,Center B,Standard,agosto,32,Monday
CASE001496,Product A,Agent_040,NOT TP,Web,Individual,Technical,Other,Installation,2024-08-14,,,,,,,,Center B,,agosto,33,Wednesday
CASE001497,,Agent_011,TP,Web,Individual,General,Account,Question,2024-09-21,,,,,,,,,,septiembre,38,Saturday
CASE001498,,Agent_044,NOT TP,Email,Individual,General,Other,Error,2024-09-04,,,,,,WO6194,,,,septiembre,36,Wednesday
CASE001499,,Agent_003,NOT TP,Chat,Business,Technical,Software,Configuration,2024-08-21,,,,,,,,,,agosto,34,Wednesday
CASE001500,,Agent_024,NOT TP,Phone,Business,Technical,Hardware,Installation,2024-09-25,,,,,,,,,,septiembre,39,Wednesday
CASE001501,Product B,Agent_016,NOT TP,Chat,Individual,General,Software,Installation,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE001502,,Agent_042,TP,Chat,Individual,Technical,Account,Question,2024-08-12,,,,,,,,,,agosto,33,Monday
CASE001503,Product A,Agent_001,NOT TP,Phone,Individual,General,Software,Question,2024-07-04,,,,,,,,,,julio,27,Thursday
CASE001504,,Agent_011,NOT TP,Web,Individual,General,Other,Error,2024-07-15,,,,,,WO5825,,,,julio,29,Monday
CASE001505,,Agent_006,TP,Phone,Individual,Technical,Account,Question,2024-08-03,,,,,,WO9401,,,,agosto,31,Saturday
CASE001506,,Agent_018,NOT TP,Email,Business,Billing,Account,Error,2024-07-23,,,,,,,,,Premium,julio,30,Tuesday
CASE001507,,Agent_050,NOT TP,Phone,Individual,Billing,Software,Error,2024-09-13,,,,,,,,,,septiembre,37,Friday
CASE001508,Product B,Agent_026,NOT TP,Web,Individual,Billing,Account,Question,2024-08-03,,,,,,,,,,agosto,31,Saturday
CASE001509,Product A,Agent_023,NOT TP,Chat,Individual,Billing,Software,Error,2024-07-05,,,,,,,,,,julio,27,Friday
CASE001510,Product C,Agent_043,NOT TP,Chat,Individual,Billing,Software,Configuration,2024-07-14,,,,,,,,,Standard,julio,28,Sunday
CASE001511,,Agent_026,NOT TP,Phone,Individual,Billing,Software,Error,2024-09-15,,,,,,,,,,septiembre,37,Sunday
CASE001512,,Agent_026,NOT TP,Email,Individual,Billing,Account,Installation,2024-08-25,,,,,,,,,,agosto,34,Sunday
CASE001513,,Agent_038,NOT TP,Web,Individual,Technical,Account,Installation,2024-08-14,,,,,,,,,,agosto,33,Wednesday
CASE001514,Product B,Agent_013,TP,Chat,Individual,Technical,Hardware,Installation,2024-08-10,,,,,,,,,,agosto,32,Saturday
CASE001515,,Agent_034,TP,Phone,Individual,Billing,Software,Question,2024-08-25,,,,,,,,,,agosto,34,Sunday
CASE001516,Product A,Agent_001,TP,Email,Business,Technical,Software,Installation,2024-09-16,,,,,,,,,,septiembre,38,Monday
CASE001517,,Agent_048,NOT TP,Email,Individual,General,Software,Question,2024-09-04,,,,,,,,,Standard,septiembre,36,Wednesday
CASE001518,,Agent_046,NOT TP,Chat,Individual,Billing,Software,Installation,2024-07-15,,,,,,WO4123,,,,julio,29,Monday
CASE001519,Product C,Agent_005,TP,Chat,Business,General,Software,Error,2024-08-19,,,,,,,,,,agosto,34,Monday
CASE001520,Product A,Agent_006,NOT TP,Web,Individual,Technical,Software,Question,2024-09-12,,,,,,WO9898,,,,septiembre,37,Thursday
CASE001521,Product B,Agent_036,TP,Email,Business,Billing,Software,Installation,2024-07-25,,,,,,WO1139,,,,julio,30,Thursday
CASE001522,Product B,Agent_019,NOT TP,Web,Individual,General,Hardware,Error,2024-08-02,,,,,,,,,,agosto,31,Friday
CASE001523,Product A,Agent_047,NOT TP,Email,Business,Technical,Hardware,Question,2024-07-06,,,,,,,,,,julio,27,Saturday
CASE001524,,Agent_036,NOT TP,Email,Business,Billing,Other,Error,2024-09-29,,,,,,,,,,septiembre,39,Sunday
CASE001525,Product B,Agent_038,NOT TP,Phone,Business,Billing,Software,Error,2024-08-25,,Very dissatisfied,,,,WO7647,,,Standard,agosto,34,Sunday
CASE001526,,Agent_023,NOT TP,Chat,Individual,General,Software,Error,2024-07-01,,,,,,WO1194,,,,julio,27,Monday
CASE001527,Product A,Agent_023,TP,Email,Individual,General,Hardware,Question,2024-09-05,,,,,,,,,,septiembre,36,Thursday
CASE001528,Product B,Agent_018,TP,Web,Individual,General,Hardware,Question,2024-09-07,,,,,,,,,,septiembre,36,Saturday
CASE001529,Product B,Agent_015,NOT TP,Chat,Individual,Technical,Software,Configuration,2024-09-26,,,,,,,,,,septiembre,39,Thursday
CASE001530,Product B,Agent_039,NOT TP,Web,Business,General,Software,Configuration,2024-09-24,,,,,,,,,,septiembre,39,Tuesday
CASE001531,Product B,Agent_013,NOT TP,Chat,Individual,General,Hardware,Configuration,2024-07-26,,,,,,,,,,julio,30,Friday
CASE001532,,Agent_030,NOT TP,Chat,Individual,General,Hardware,Configuration,2024-08-16,,,,,,,,,Express,agosto,33,Friday
CASE001533,,Agent_026,NOT TP,Email,Individual,Billing,Other,Question,2024-08-25,,,,,,,,,,agosto,34,Sunday
CASE001534,,Agent_037,NOT TP,Phone,Individual,General,Other,Configuration,2024-07-09,,,,,,,,,,julio,28,Tuesday
CASE001535,Product B,Agent_001,NOT TP,Email,Business,General,Software,Installation,2024-09-24,,,,,,,,,,septiembre,39,Tuesday
CASE001536,Product C,Agent_017,NOT TP,Chat,Business,Technical,Hardware,Configuration,2024-08-12,,,,,,,,,,agosto,33,Monday
CASE001537,,Agent_012,TP,Email,Individual,Technical,Other,Installation,2024-09-18,,,,,,,,,,septiembre,38,Wednesday
CASE001538,,Agent_027,NOT TP,Email,Individual,General,Software,Installation,2024-08-10,,,,,,,,,,agosto,32,Saturday
CASE001539,Product A,Agent_033,TP,Chat,Individual,Technical,Other,Error,2024-09-23,,,,,,,,,,septiembre,39,Monday
CASE001540,Product C,Agent_007,NOT TP,Chat,Individual,Technical,Other,Error,2024-07-16,,,,,,,,,,julio,29,Tuesday
CASE001541,Product A,Agent_036,NOT TP,Email,Business,Technical,Other,Error,2024-08-08,Yes,,,,,,,,,agosto,32,Thursday
CASE001542,,Agent_005,TP,Email,Business,Billing,Account,Configuration,2024-09-03,,,,,,,,,Premium,septiembre,36,Tuesday
CASE001543,Product C,Agent_033,NOT TP,Email,Individual,General,Software,Question,2024-08-09,,,,,,,,,,agosto,32,Friday
CASE001544,Product C,Agent_019,NOT TP,Web,Individual,General,Other,Installation,2024-09-24,,,,,,,,,Express,septiembre,39,Tuesday
CASE001545,,Agent_022,TP,Email,Individual,General,Software,Question,2024-08-22,,,,,,,,,Premium,agosto,34,Thursday
CASE001546,Product C,Agent_008,TP,Web,Individual,Technical,Software,Question,2024-08-11,,,,,,,,,,agosto,32,Sunday
CASE001547,Product A,Agent_033,NOT TP,Phone,Individual,Technical,Hardware,Configuration,2024-08-21,,Very satisfied,,Communication skills,,,,,Premium,agosto,34,Wednesday
CASE001548,,Agent_017,NOT TP,Web,Individual,Technical,Software,Question,2024-09-28,,,,,,,,,,septiembre,39,Saturday
CASE001549,Product A,Agent_035,NOT TP,Email,Individual,Billing,Other,Question,2024-08-07,,,,,,,,,Standard,agosto,32,Wednesday
CASE001550,Product C,Agent_037,NOT TP,Phone,Individual,Technical,Software,Error,2024-09-09,,,,,,,,,Premium,septiembre,37,Monday
CASE001551,Product B,Agent_017,NOT TP,Web,Individual,Billing,Hardware,Error,2024-07-17,,,,,,WO1158,,,Standard,julio,29,Wednesday
CASE001552,,Agent_045,NOT TP,Web,Business,General,Account,Installation,2024-07-25,,,,,,,,,,julio,30,Thursday
CASE001553,Product C,Agent_029,NOT TP,Chat,Business,Technical,Account,Installation,2024-08-23,,,,,,,,,,agosto,34,Friday
CASE001554,,Agent_025,NOT TP,Phone,Individual,Billing,Hardware,Error,2024-09-24,,,,,,,,,,septiembre,39,Tuesday
CASE001555,Product B,Agent_037,NOT TP,Chat,Individual,Billing,Other,Configuration,2024-08-18,,,,,,,,,,agosto,33,Sunday
CASE001556,Product B,Agent_031,TP,Phone,Individual,Technical,Other,Configuration,2024-09-25,,,,,,,,,,septiembre,39,Wednesday
CASE001557,,Agent_050,TP,Web,Individual,Billing,Other,Installation,2024-07-23,,,,,,,,,,julio,30,Tuesday
CASE001558,,Agent_016,NOT TP,Chat,Individual,Technical,Software,Error,2024-09-17,,,,,,,,,Standard,septiembre,38,Tuesday
CASE001559,Product C,Agent_049,NOT TP,Email,Business,Billing,Account,Configuration,2024-09-11,,,,,,,,,Standard,septiembre,37,Wednesday
CASE001560,Product A,Agent_022,NOT TP,Web,Individual,General,Other,Question,2024-08-08,,,,,,,,,Express,agosto,32,Thursday
CASE001561,Product B,Agent_050,TP,Phone,Individual,General,Account,Installation,2024-08-21,,,,,,,,,,agosto,34,Wednesday
CASE001562,Product A,Agent_030,TP,Phone,Individual,General,Hardware,Installation,2024-09-09,,,,,,,,,,septiembre,37,Monday
CASE001563,Product B,Agent_044,TP,Chat,Business,Technical,Account,Question,2024-07-01,,,,,,,,,,julio,27,Monday
CASE001564,Product A,Agent_030,TP,Chat,Business,General,Other,Question,2024-08-08,,,,,,,,,,agosto,32,Thursday
CASE001565,,Agent_038,NOT TP,Phone,Individual,General,Account,Installation,2024-08-06,,Satisfied,,,,WO6410,,,,agosto,32,Tuesday
CASE001566,,Agent_002,TP,Web,Individual,General,Hardware,Question,2024-07-27,,,,,,,,,,julio,30,Saturday
CASE001567,Product C,Agent_031,NOT TP,Chat,Individual,Technical,Account,Configuration,2024-08-25,,,,,,,,,Express,agosto,34,Sunday
CASE001568,Product A,Agent_008,NOT TP,Email,Individual,Billing,Software,Installation,2024-09-13,,,,,,WO7404,,,Express,septiembre,37,Friday
CASE001569,,Agent_017,TP,Phone,Individual,Technical,Hardware,Configuration,2024-09-16,,,,,,WO4345,,,Standard,septiembre,38,Monday
CASE001570,Product C,Agent_005,NOT TP,Email,Individual,Technical,Software,Installation,2024-09-22,,,,,,WO2043,,,,septiembre,38,Sunday
CASE001571,Product B,Agent_025,NOT TP,Phone,Individual,General,Software,Configuration,2024-08-11,,,,,,,,,,agosto,32,Sunday
CASE001572,,Agent_041,TP,Email,Individual,Billing,Other,Error,2024-08-29,,,,,,,,,Premium,agosto,35,Thursday
CASE001573,Product C,Agent_015,NOT TP,Web,Individual,General,Other,Configuration,2024-08-26,,,,,,,,,,agosto,35,Monday
CASE001574,Product B,Agent_044,NOT TP,Phone,Business,General,Hardware,Question,2024-08-26,,,,,,,,,,agosto,35,Monday
CASE001575,,Agent_045,NOT TP,Web,Individual,Technical,Other,Error,2024-09-25,,,,,,,,,,septiembre,39,Wednesday
CASE001576,,Agent_015,TP,Chat,Individual,Technical,Account,Installation,2024-07-28,,,,,,WO2527,,,Express,julio,30,Sunday
CASE001577,Product B,Agent_021,NOT TP,Phone,Individual,Technical,Hardware,Configuration,2024-09-04,,,,,,,,,,septiembre,36,Wednesday
CASE001578,Product B,Agent_027,NOT TP,Web,Individual,General,Other,Installation,2024-08-30,No,,,,,,,,,agosto,35,Friday
CASE001579,,Agent_023,TP,Email,Individual,Billing,Other,Error,2024-07-22,,,,,,,,,,julio,30,Monday
CASE001580,,Agent_034,NOT TP,Web,Individual,Billing,Account,Question,2024-09-23,Yes,Very satisfied,,Response time,,WO9005,,,,septiembre,39,Monday
CASE001581,,Agent_035,NOT TP,Phone,Individual,General,Software,Question,2024-07-11,,,,,,,,,Express,julio,28,Thursday
CASE001582,Product A,Agent_001,NOT TP,Web,Individual,Billing,Account,Question,2024-08-06,,,,,,,,,,agosto,32,Tuesday
CASE001583,,Agent_045,TP,Email,Individual,General,Software,Installation,2024-09-04,,,,,,WO7322,,,Premium,septiembre,36,Wednesday
CASE001584,,Agent_017,NOT TP,Email,Individual,Billing,Other,Question,2024-09-23,,,,,,,,,,septiembre,39,Monday
CASE001585,Product B,Agent_016,TP,Email,Business,General,Software,Question,2024-09-20,,,,,,,,,,septiembre,38,Friday
CASE001586,Product B,Agent_019,TP,Chat,Individual,Billing,Software,Installation,2024-09-18,,,,,,,,,Premium,septiembre,38,Wednesday
CASE001587,Product A,Agent_006,TP,Phone,Individual,Technical,Other,Installation,2024-08-12,,,,,,,,,,agosto,33,Monday
CASE001588,,Agent_026,TP,Email,Individual,Technical,Hardware,Error,2024-07-12,,,,,,,,,,julio,28,Friday
CASE001589,Product A,Agent_044,TP,Chat,Business,Technical,Account,Question,2024-07-31,,,,,,,,,,julio,31,Wednesday
CASE001590,,Agent_048,TP,Email,Individual,Technical,Other,Error,2024-09-25,,,,,,,,,,septiembre,39,Wednesday
CASE001591,Product C,Agent_022,NOT TP,Web,Business,General,Account,Configuration,2024-08-09,,,,,,WO7731,,,,agosto,32,Friday
CASE001592,Product B,Agent_005,TP,Phone,Business,Billing,Account,Configuration,2024-07-29,,,,,,,,,,julio,31,Monday
CASE001593,,Agent_036,TP,Web,Individual,General,Software,Configuration,2024-07-26,,,,,,WO3115,,,,julio,30,Friday
CASE001594,,Agent_012,NOT TP,Chat,Individual,Technical,Other,Configuration,2024-07-19,,,,,,,,,,julio,29,Friday
CASE001595,Product A,Agent_031,NOT TP,Web,Individual,Billing,Hardware,Installation,2024-07-04,,,,,,,,,,julio,27,Thursday
CASE001596,Product B,Agent_021,NOT TP,Web,Business,General,Account,Error,2024-07-06,,,,,,,,,,julio,27,Saturday
CASE001597,Product A,Agent_023,TP,Email,Individual,Technical,Account,Error,2024-08-01,,,,,,WO4382,,,Standard,agosto,31,Thursday
CASE001598,Product C,Agent_014,TP,Web,Individual,Billing,Hardware,Installation,2024-08-30,,,,,,,,Center A,,agosto,35,Friday
CASE001599,Product B,Agent_037,TP,Email,Individual,Billing,Account,Configuration,2024-09-17,,,,,,,,,,septiembre,38,Tuesday
CASE001600,Product A,Agent_018,TP,Email,Individual,Technical,Other,Error,2024-07-10,,,,,,,,,Standard,julio,28,Wednesday
CASE001601,Product C,Agent_012,TP,Phone,Individual,Technical,Hardware,Question,2024-08-28,,,,,,,,,,agosto,35,Wednesday
CASE001602,Product B,Agent_048,TP,Chat,Individual,Billing,Other,Installation,2024-08-23,,,,,,,,,Standard,agosto,34,Friday
